epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.3136,4.11863,6.24892,3.58239,0,0,0,0,3.54822,4.45147,3.10453,0.0677857,0.000325397,0.000325397
2,106.411,3.83516,4.22612,2.92827,0,0,0,0,3.4684,4.08742,2.79829,0.0347727,0.000645687,0.000645687
3,153.207,3.79185,4.0055,2.71552,0.00113,0.3193,0.003,0.00066,3.3092,4.20466,3.90562,0.00174643,0.000952778,0.000952778
4,200.184,3.71913,3.83277,2.65926,0.00212,0.29474,0.012,0.00465,3.41732,3.88911,5.70929,0.0009406,0.0009406,0.0009406
5,224.149,3.62344,3.87215,2.58782,0.0033,0.27719,0.0476,0.01607,3.74856,4.4242,3.10682,0.0009208,0.0009208,0.0009208
6,258.72,3.71372,3.69946,2.52689,0.68173,0.00877,0.01248,0.00481,3.43614,3.92388,2.64618,0.000901,0.000901,0.000901
7,282.287,3.55788,3.66104,2.42514,0.39354,0.1,0.10511,0.02517,3.48701,3.89781,2.76691,0.0008812,0.0008812,0.0008812
8,303.895,3.57169,3.6187,2.48405,0.72414,0.05313,0.10623,0.04503,3.39484,3.52688,2.6402,0.0008614,0.0008614,0.0008614
9,328.237,3.51741,3.46371,2.44451,0.3875,0.10877,0.10689,0.04822,3.42609,3.80747,2.64493,0.0008416,0.0008416,0.0008416
10,349.638,3.4625,3.52894,2.42619,0.34836,0.02632,0.01764,0.00513,3.34511,3.77985,2.70226,0.0008218,0.0008218,0.0008218
11,364.962,3.48901,3.42313,2.43416,0.56913,0.1,0.11603,0.05274,3.33008,3.39869,2.5552,0.000802,0.000802,0.000802
12,377.918,3.40526,3.40953,2.36964,0.56704,0.17598,0.1125,0.05578,3.2555,3.4788,2.5441,0.0007822,0.0007822,0.0007822
13,391.661,3.39632,3.33681,2.42849,0.60354,0.16842,0.12867,0.04691,3.18181,3.50597,2.41873,0.0007624,0.0007624,0.0007624
14,412.495,3.34162,3.27888,2.35122,0.63688,0.14211,0.15167,0.05999,3.47598,3.56154,2.65373,0.0007426,0.0007426,0.0007426
15,427.367,3.3963,3.33283,2.38149,0.60408,0.13426,0.13882,0.05782,3.49879,3.48088,2.74312,0.0007228,0.0007228,0.0007228
16,441.322,3.36843,3.23395,2.35988,0.54966,0.12594,0.11372,0.0414,3.34822,3.22842,2.58259,0.000703,0.000703,0.000703
17,454.938,3.28786,3.20363,2.3775,0.62267,0.20668,0.20544,0.08013,3.11555,3.28215,2.47584,0.0006832,0.0006832,0.0006832
18,467.995,3.30104,3.10869,2.30554,0.51772,0.16842,0.10843,0.04013,3.25321,3.10147,2.47825,0.0006634,0.0006634,0.0006634
19,481.217,3.24345,2.98292,2.33473,0.55129,0.14965,0.15875,0.05079,3.59438,3.28249,2.6473,0.0006436,0.0006436,0.0006436
20,495.164,3.29489,3.01242,2.35967,0.50025,0.23509,0.17274,0.07269,3.11653,2.91083,2.46525,0.0006238,0.0006238,0.0006238
21,510.51,3.24967,2.92044,2.30099,0.59764,0.17013,0.21957,0.0996,3.07306,2.92489,2.36652,0.000604,0.000604,0.000604
22,523.964,3.1827,2.84547,2.24927,0.80545,0.20927,0.21982,0.09361,3.17489,2.95777,2.44041,0.0005842,0.0005842,0.0005842
23,537.554,3.16849,2.84619,2.22082,0.29689,0.28516,0.21519,0.08978,3.28415,2.94676,2.53788,0.0005644,0.0005644,0.0005644
24,550.615,3.14712,2.7929,2.31414,0.63401,0.21053,0.24284,0.11164,3.02767,2.88556,2.36823,0.0005446,0.0005446,0.0005446
25,563.667,3.06211,2.7128,2.25482,0.50816,0.33121,0.29386,0.11806,3.10255,2.85108,2.38288,0.0005248,0.0005248,0.0005248
26,576.792,3.10885,2.72732,2.21364,0.68897,0.20653,0.23617,0.10715,3.17652,2.86521,2.46718,0.000505,0.000505,0.000505
27,589.228,3.10537,2.72511,2.24356,0.60936,0.24386,0.26688,0.11583,3.26835,2.75239,2.49131,0.0004852,0.0004852,0.0004852
28,601.786,3.09018,2.65639,2.18419,0.65044,0.21053,0.25278,0.09869,3.0169,2.81784,2.37612,0.0004654,0.0004654,0.0004654
29,614.808,3.10683,2.68279,2.2219,0.30903,0.23509,0.2602,0.1009,3.13151,2.71192,2.43528,0.0004456,0.0004456,0.0004456
30,628.549,3.00182,2.55513,2.18864,0.26985,0.20351,0.22636,0.0949,3.00309,2.7035,2.36179,0.0004258,0.0004258,0.0004258
31,642.58,3.03925,2.64996,2.19619,0.4144,0.29105,0.28473,0.13333,3.04426,2.63595,2.4218,0.000406,0.000406,0.000406
32,658.269,2.99603,2.50968,2.14117,0.33614,0.34035,0.28932,0.12069,3.07815,2.54807,2.39311,0.0003862,0.0003862,0.0003862
33,671.053,3.02789,2.53026,2.20669,0.30302,0.25723,0.23363,0.10961,2.96877,2.53561,2.33212,0.0003664,0.0003664,0.0003664
34,683.687,2.93209,2.45793,2.17297,0.38278,0.33158,0.31283,0.1601,2.97664,2.52411,2.36236,0.0003466,0.0003466,0.0003466
35,696.362,2.9464,2.39866,2.18718,0.41139,0.36491,0.32063,0.15272,2.90817,2.40899,2.29517,0.0003268,0.0003268,0.0003268
36,708.925,2.90016,2.38244,2.124,0.40475,0.33158,0.32383,0.14415,2.93517,2.48311,2.33525,0.000307,0.000307,0.000307
37,721.535,2.94844,2.38857,2.13781,0.34364,0.31975,0.33348,0.13391,3.00536,2.55253,2.32513,0.0002872,0.0002872,0.0002872
38,734.083,2.90063,2.30479,2.10501,0.47107,0.37585,0.39111,0.17916,3.00434,2.61825,2.3669,0.0002674,0.0002674,0.0002674
39,746.78,2.91273,2.38795,2.12738,0.56893,0.30976,0.37631,0.20809,3.05149,2.5527,2.41165,0.0002476,0.0002476,0.0002476
40,759.437,2.85926,2.31252,2.09383,0.47873,0.36491,0.38732,0.21483,2.77169,2.37651,2.28413,0.0002278,0.0002278,0.0002278
41,795.384,2.76122,2.26757,2.15369,0.44795,0.36491,0.3292,0.18157,3.06757,2.4844,2.42853,0.000208,0.000208,0.000208
42,807.858,2.75887,2.1769,2.14005,0.5123,0.32105,0.38882,0.207,2.99219,2.45985,2.38245,0.0001882,0.0001882,0.0001882
43,820.752,2.64638,2.13127,2.0808,0.439,0.37368,0.37562,0.18002,2.93891,2.40917,2.31596,0.0001684,0.0001684,0.0001684
44,833.57,2.65695,2.08538,2.10855,0.36918,0.42456,0.42563,0.22255,2.93602,2.41042,2.34768,0.0001486,0.0001486,0.0001486
45,846.511,2.62774,2.05047,2.08653,0.46033,0.37368,0.41897,0.20037,2.80031,2.33744,2.25066,0.0001288,0.0001288,0.0001288
46,859.408,2.63151,2.04073,2.05794,0.46105,0.40317,0.43843,0.24689,2.814,2.26352,2.27555,0.000109,0.000109,0.000109
47,872.416,2.6073,1.98447,2.05858,0.58909,0.3691,0.43683,0.24392,2.78318,2.26661,2.25216,8.92e-05,8.92e-05,8.92e-05
48,885.351,2.57433,1.9957,2.07985,0.64409,0.35345,0.4392,0.23317,2.80751,2.2912,2.25196,6.94e-05,6.94e-05,6.94e-05
49,898.518,2.56808,1.9987,2.02462,0.6362,0.38947,0.45286,0.23758,2.82106,2.28582,2.27063,4.96e-05,4.96e-05,4.96e-05
50,911.444,2.57988,1.98036,2.05425,0.63763,0.3807,0.45257,0.24125,2.80914,2.27487,2.26462,2.98e-05,2.98e-05,2.98e-05
