epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9597,4.11055,6.20717,3.59378,0,0,0,0,3.68708,4.52533,3.21253,0.0677857,0.000325397,0.000325397
2,24.8484,3.6585,3.84603,3.05638,0,0,0,0,3.49751,5.15558,3.00912,0.0347727,0.000645687,0.000645687
3,36.597,3.27555,3.18502,2.79067,0.35532,0.10161,0.10771,0.03224,3.36563,4.03589,3.07301,0.00174643,0.000952778,0.000952778
4,48.1756,3.18215,2.87213,2.65951,0.85506,0.16667,0.29382,0.11268,2.9595,6.66907,2.88928,0.0009406,0.0009406,0.0009406
5,59.9516,3.01526,2.58979,2.54849,0.88616,0.21847,0.30239,0.13499,3.13105,3.53803,2.78196,0.0009208,0.0009208,0.0009208
6,71.4974,2.97916,2.46623,2.41976,0.33389,0.33115,0.32683,0.14531,3.23724,3.75295,2.83198,0.000901,0.000901,0.000901
7,83.181,2.89757,2.31042,2.34838,0.15522,0.50351,0.25246,0.11303,3.02285,3.93854,2.6008,0.0008812,0.0008812,0.0008812
8,94.8944,2.84679,2.27633,2.3617,0.56915,0.32807,0.40004,0.16327,2.94047,2.494,2.50484,0.0008614,0.0008614,0.0008614
9,106.474,2.78716,2.09337,2.31384,0.68339,0.14035,0.14543,0.06513,3.19333,3.71975,3.05662,0.0008416,0.0008416,0.0008416
10,117.917,2.64736,2.14586,2.22514,0.4477,0.27933,0.34799,0.15739,2.83426,2.52685,2.47547,0.0008218,0.0008218,0.0008218
11,129.566,2.65878,1.96761,2.18946,0.4863,0.42456,0.43589,0.20631,2.84375,2.59659,2.42412,0.000802,0.000802,0.000802
12,141.01,2.57522,1.88313,2.16373,0.44032,0.37544,0.36852,0.15924,2.91856,2.46679,2.52186,0.0007822,0.0007822,0.0007822
13,152.458,2.60229,1.88971,2.20481,0.41232,0.57193,0.46873,0.20871,2.61572,2.14576,2.35319,0.0007624,0.0007624,0.0007624
14,163.953,2.49592,1.79058,2.12114,0.45245,0.53239,0.50208,0.22347,2.66708,2.02187,2.39287,0.0007426,0.0007426,0.0007426
15,175.454,2.4718,1.75938,2.10943,0.55025,0.43931,0.45879,0.20288,2.55138,1.96724,2.34518,0.0007228,0.0007228,0.0007228
16,186.899,2.40803,1.7029,2.06991,0.65468,0.47018,0.55313,0.25206,2.42712,1.81859,2.21881,0.000703,0.000703,0.000703
17,198.45,2.31001,1.68753,2.07057,0.45693,0.43158,0.4681,0.1946,2.43795,2.13345,2.24836,0.0006832,0.0006832,0.0006832
18,210.061,2.31967,1.65943,1.98681,0.58584,0.43333,0.54343,0.25407,2.51934,1.89777,2.28093,0.0006634,0.0006634,0.0006634
19,221.718,2.25347,1.57356,1.96826,0.51775,0.53684,0.4602,0.23993,2.4507,2.0125,2.22937,0.0006436,0.0006436,0.0006436
20,233.212,2.23061,1.59712,1.95369,0.64019,0.5,0.53705,0.25507,2.4207,1.67263,2.27076,0.0006238,0.0006238,0.0006238
21,244.841,2.23141,1.51902,1.93282,0.47653,0.59693,0.5197,0.26436,2.45745,1.85792,2.2581,0.000604,0.000604,0.000604
22,256.467,2.17813,1.5022,1.89396,0.62726,0.52105,0.55641,0.28495,2.44845,1.87315,2.2311,0.0005842,0.0005842,0.0005842
23,268.064,2.20771,1.44704,1.87312,0.52205,0.61402,0.51995,0.27736,2.39364,1.62708,2.21407,0.0005644,0.0005644,0.0005644
24,279.66,2.14192,1.47259,1.9387,0.52638,0.57018,0.58964,0.27571,2.45197,1.70433,2.17136,0.0005446,0.0005446,0.0005446
25,291.151,2.15283,1.45155,1.91099,0.63847,0.58772,0.60096,0.2968,2.26299,1.55715,2.09914,0.0005248,0.0005248,0.0005248
26,302.777,2.06826,1.38132,1.84852,0.73833,0.51754,0.58755,0.30607,2.30115,1.49541,2.1202,0.000505,0.000505,0.000505
27,314.276,2.09737,1.42592,1.87282,0.52428,0.6222,0.62338,0.31538,2.31147,1.57537,2.12619,0.0004852,0.0004852,0.0004852
28,325.747,2.07908,1.34831,1.78165,0.54238,0.61404,0.5931,0.33019,2.26675,1.55409,2.06147,0.0004654,0.0004654,0.0004654
29,337.3,2.01729,1.35157,1.77141,0.70095,0.63158,0.64001,0.35458,2.16722,1.3746,2.00982,0.0004456,0.0004456,0.0004456
30,348.94,1.95931,1.30828,1.77487,0.68411,0.68484,0.66699,0.3562,2.26277,1.41215,2.06634,0.0004258,0.0004258,0.0004258
31,360.937,1.9822,1.33366,1.79863,0.51794,0.63042,0.57645,0.33002,2.19483,1.54418,2.03012,0.000406,0.000406,0.000406
32,372.466,1.96051,1.27362,1.71645,0.61153,0.60526,0.59446,0.36193,2.21084,1.48355,2.02713,0.0003862,0.0003862,0.0003862
33,384.028,1.93055,1.2692,1.74786,0.66458,0.61371,0.63965,0.36232,2.12994,1.37504,1.96162,0.0003664,0.0003664,0.0003664
34,395.504,1.92738,1.2445,1.74489,0.66316,0.65575,0.61449,0.33224,2.07273,1.32686,1.93467,0.0003466,0.0003466,0.0003466
35,407.228,1.89754,1.23905,1.71965,0.66722,0.65949,0.62577,0.36682,2.22563,1.29226,2.05856,0.0003268,0.0003268,0.0003268
36,418.722,1.84694,1.19565,1.65615,0.69234,0.63158,0.65266,0.3479,2.10866,1.39618,1.95868,0.000307,0.000307,0.000307
37,430.313,1.85674,1.20341,1.66559,0.73417,0.64574,0.62812,0.36789,2.14146,1.36097,1.9677,0.0002872,0.0002872,0.0002872
38,441.794,1.82225,1.18394,1.62293,0.60685,0.6463,0.64885,0.38084,2.21344,1.33008,2.01926,0.0002674,0.0002674,0.0002674
39,453.552,1.85538,1.17868,1.66857,0.69662,0.71524,0.67284,0.36801,2.21399,1.29352,1.96348,0.0002476,0.0002476,0.0002476
40,465.118,1.80448,1.15037,1.63543,0.62626,0.7161,0.63835,0.35794,2.15561,1.30348,1.92526,0.0002278,0.0002278,0.0002278
41,493.188,1.77879,1.16604,1.68285,0.65077,0.62663,0.64264,0.36718,2.13607,1.32303,1.96574,0.000208,0.000208,0.000208
42,504.715,1.79727,1.12982,1.65828,0.70432,0.71344,0.67098,0.38681,2.24279,1.29091,2.02346,0.0001882,0.0001882,0.0001882
43,516.263,1.72297,1.08916,1.63593,0.71535,0.68743,0.67735,0.37126,2.17292,1.29577,1.95947,0.0001684,0.0001684,0.0001684
44,527.652,1.70192,1.06321,1.61635,0.63741,0.6638,0.64105,0.38754,2.04501,1.29267,1.88907,0.0001486,0.0001486,0.0001486
