metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.73809,0.75606,0.81287,0.31863,1.58202,0.67229,1.48283,0,152.49602246284485,False,1,b286e_00008,2023-08-15_05-06-08,1692047168,152.49602246284485,2272,Workstation,127.0.0.1,152.49602246284485,1
0.75964,0.70732,0.72145,0.30916,1.5919,0.684,1.53551,1,1.7998619079589844,False,2,b286e_00008,2023-08-15_05-06-10,1692047170,154.29588437080383,2272,Workstation,127.0.0.1,154.29588437080383,2
0.81762,0.70732,0.76872,0.27408,1.72123,0.70401,1.64782,2,1.777923583984375,False,3,b286e_00008,2023-08-15_05-06-12,1692047172,156.0738079547882,2272,Workstation,127.0.0.1,156.0738079547882,3
0.86352,0.77178,0.791,0.26832,1.61721,0.69464,1.72693,3,1.7258141040802002,False,4,b286e_00008,2023-08-15_05-06-14,1692047174,157.7996220588684,2272,Workstation,127.0.0.1,157.7996220588684,4
0.65912,0.75461,0.73846,0.24863,1.69746,0.96554,1.68254,4,1.6902265548706055,False,5,b286e_00008,2023-08-15_05-06-15,1692047175,159.489848613739,2272,Workstation,127.0.0.1,159.489848613739,5
0.84885,0.70732,0.80842,0.2954,1.55976,0.72636,1.47535,5,1.9221642017364502,False,6,b286e_00008,2023-08-15_05-06-17,1692047177,161.41201281547546,2272,Workstation,127.0.0.1,161.41201281547546,6
0.75483,0.70732,0.7947,0.31099,1.56313,0.73267,1.52398,6,1.7831997871398926,False,7,b286e_00008,2023-08-15_05-06-19,1692047179,163.19521260261536,2272,Workstation,127.0.0.1,163.19521260261536,7
0.74548,0.73171,0.7318,0.28526,1.59604,0.80002,1.53161,7,1.7345459461212158,False,8,b286e_00008,2023-08-15_05-06-21,1692047181,164.92975854873657,2272,Workstation,127.0.0.1,164.92975854873657,8
0.72249,0.70732,0.73887,0.29033,1.56074,0.74622,1.55159,8,1.6593053340911865,False,9,b286e_00008,2023-08-15_05-06-22,1692047182,166.58906388282776,2272,Workstation,127.0.0.1,166.58906388282776,9
0.76161,0.70732,0.70557,0.28975,1.53476,0.74358,1.54975,9,1.6664297580718994,False,10,b286e_00008,2023-08-15_05-06-24,1692047184,168.25549364089966,2272,Workstation,127.0.0.1,168.25549364089966,10
0.80573,0.73171,0.77817,0.29418,1.54497,0.90555,1.57206,10,1.6490118503570557,False,11,b286e_00008,2023-08-15_05-06-26,1692047186,169.9045054912567,2272,Workstation,127.0.0.1,169.9045054912567,11
0.71155,0.78218,0.74276,0.27362,1.61958,1.26545,1.59176,11,1.8717412948608398,False,12,b286e_00008,2023-08-15_05-06-27,1692047187,171.77624678611755,2272,Workstation,127.0.0.1,171.77624678611755,12
0.71833,0.78049,0.75378,0.29265,1.59646,0.89261,1.53026,12,1.7010784149169922,False,13,b286e_00008,2023-08-15_05-06-29,1692047189,173.47732520103455,2272,Workstation,127.0.0.1,173.47732520103455,13
0.82426,0.7561,0.81324,0.27823,1.63364,0.85757,1.53304,13,1.7081971168518066,False,14,b286e_00008,2023-08-15_05-06-31,1692047191,175.18552231788635,2272,Workstation,127.0.0.1,175.18552231788635,14
0.80699,0.73171,0.80035,0.28397,1.61853,0.7285,1.55271,14,1.682685375213623,False,15,b286e_00008,2023-08-15_05-06-33,1692047193,176.86820769309998,2272,Workstation,127.0.0.1,176.86820769309998,15
0.71526,0.82927,0.79194,0.27843,1.60379,0.70657,1.5733,15,1.699897050857544,False,16,b286e_00008,2023-08-15_05-06-34,1692047194,178.56810474395752,2272,Workstation,127.0.0.1,178.56810474395752,16
