epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.04061,2.67453,8.04062,1.86442,0.0009,0.56098,0.00246,0.00076,1.66828,43.122,1.1657,0.00026,0.00026,0.00026
2,6.89564,2.4893,5.28686,1.65433,0.00098,0.60976,0.00152,0.00051,1.51394,43.1841,1.11046,0.00051327,0.00051327,0.00051327
3,9.66349,2.22835,5.05005,1.71759,0.00086,0.53659,0.00117,0.00041,1.46135,44.2461,1.18794,0.00073882,0.00073882,0.00073882
4,12.3405,2.41421,4.12781,1.69797,0.00114,0.70732,0.0018,0.00066,1.47838,43.1897,1.16627,0.00093665,0.00093665,0.00093665
5,15.0318,2.41622,3.97191,1.79967,0.00141,0.87805,0.00497,0.00206,1.54417,46.7013,1.24425,0.00110676,0.00110676,0.00110676
6,17.7625,2.27423,3.67413,1.8092,0.71352,0.12195,0.37717,0.11172,1.41333,39.4449,1.24355,0.00124915,0.00124915,0.00124915
7,20.3256,2.12056,3.04801,1.64454,0.29534,0.29268,0.19803,0.06213,1.43869,49.9021,1.16028,0.00136382,0.00136382,0.00136382
8,22.9928,2.20618,3.01624,1.61197,0.5505,0.35864,0.4304,0.14464,1.52596,29.0829,1.22402,0.001307,0.001307,0.001307
9,25.6545,2.10279,2.98284,1.60666,0.61733,0.51153,0.59692,0.20915,1.45541,24.449,1.22967,0.001208,0.001208,0.001208
10,28.3145,2.13098,2.52913,1.63811,0.63233,0.63415,0.67093,0.22613,1.45201,16.8535,1.18865,0.001109,0.001109,0.001109
11,50.2976,2.14974,3.72319,1.77259,0.38881,0.12195,0.17254,0.04141,1.61877,23.0765,1.46084,0.00101,0.00101,0.00101
12,52.9347,2.17368,3.66107,1.73291,0.53828,0.51182,0.57493,0.18845,1.48216,20.526,1.2068,0.000911,0.000911,0.000911
13,55.4875,2.1154,3.46898,1.65614,0.71505,0.46341,0.62787,0.17462,1.46156,13.3668,1.17351,0.000812,0.000812,0.000812
14,58.1015,2.01381,3.15854,1.61161,0.58731,0.68293,0.61226,0.22758,1.4314,10.8252,1.13142,0.000713,0.000713,0.000713
15,60.6637,2.0536,2.98852,1.6557,0.61865,0.6331,0.65539,0.21781,1.461,9.03593,1.18341,0.000614,0.000614,0.000614
16,63.2765,2.08417,3.19339,1.6771,0.78517,0.53659,0.69427,0.24627,1.43219,8.4251,1.17287,0.000515,0.000515,0.000515
17,65.868,1.8877,2.97204,1.56304,0.59642,0.63415,0.6982,0.23492,1.41167,8.43765,1.15463,0.000416,0.000416,0.000416
18,68.4934,1.93257,3.19498,1.58538,0.80827,0.63415,0.7444,0.26156,1.39011,7.52479,1.11859,0.000317,0.000317,0.000317
19,71.0772,1.86783,2.73338,1.57916,0.79222,0.58537,0.68545,0.2627,1.39027,7.29885,1.12149,0.000218,0.000218,0.000218
20,73.6624,1.98022,2.96128,1.63345,0.77866,0.6008,0.71069,0.2537,1.3623,7.12083,1.12052,0.000119,0.000119,0.000119
