epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.7507,1.85294,1.6511,1.43934,0.5,0.02439,0.26859,0.18801,2.80113,5.39939,2.59674,0.08713,0.00013,0.00013
2,92.8909,1.68643,1.27795,1.28501,0.83333,0.12195,0.47164,0.24593,2.68656,5.22091,2.27448,0.0732673,0.000267327,0.000267327
3,97.0047,1.75169,1.0963,1.3205,0.68878,0.53987,0.65686,0.26129,2.37429,2.64769,1.85823,0.0594019,0.000401882,0.000401882
4,101.111,1.75875,1.15104,1.3303,0.75851,0.60976,0.69741,0.26936,2.42174,1.45793,1.86337,0.0455337,0.000533665,0.000533665
5,105.133,1.78911,1.12941,1.41589,0.61185,0.76906,0.73058,0.28937,2.27325,1.26602,1.74858,0.0316627,0.000662676,0.000662676
6,109.218,1.84618,1.11039,1.42545,0.79238,0.65174,0.74322,0.29273,2.3165,1.16564,1.71946,0.0177889,0.000788915,0.000788915
7,113.213,1.85723,1.14355,1.40185,0.80796,0.73171,0.81819,0.27235,2.44517,1.20999,1.78223,0.00391238,0.000912382,0.000912382
8,117.205,1.74825,1.08917,1.35852,0.74654,0.71855,0.77271,0.27917,2.45669,1.32391,1.82592,0.0009307,0.0009307,0.0009307
9,121.21,1.72888,1.08042,1.32014,0.8396,0.73171,0.74065,0.28764,2.41952,1.25869,1.79048,0.0009208,0.0009208,0.0009208
10,125.266,1.74311,1.05281,1.32031,0.76309,0.80488,0.78188,0.31071,2.34307,1.11123,1.71897,0.0009109,0.0009109,0.0009109
11,129.272,1.70308,1.09858,1.32144,0.83866,0.78049,0.82868,0.33093,2.33633,1.13933,1.71822,0.000901,0.000901,0.000901
12,133.318,1.62015,1.09893,1.288,0.74079,0.80488,0.81876,0.29993,2.35423,1.22778,1.71822,0.0008911,0.0008911,0.0008911
13,137.344,1.66177,1.07592,1.3005,0.75228,0.85366,0.83789,0.30378,2.26817,1.2382,1.67862,0.0008812,0.0008812,0.0008812
14,141.464,1.64358,1.0812,1.32887,0.81389,0.85331,0.83951,0.31089,2.24281,1.21926,1.67445,0.0008713,0.0008713,0.0008713
15,145.471,1.67397,1.03992,1.31766,0.78858,0.85366,0.82916,0.29994,2.22365,1.18652,1.67679,0.0008614,0.0008614,0.0008614
16,149.542,1.66663,1.10136,1.34702,0.80417,0.85366,0.8796,0.31009,2.1471,1.16629,1.66765,0.0008515,0.0008515,0.0008515
17,153.577,1.61306,1.06893,1.30315,0.79766,0.86552,0.87334,0.33415,2.1314,1.16419,1.6662,0.0008416,0.0008416,0.0008416
18,157.647,1.70109,1.0523,1.30873,0.80739,0.81806,0.85993,0.32287,2.20001,1.17041,1.68701,0.0008317,0.0008317,0.0008317
19,161.627,1.64946,1.034,1.30622,0.8827,0.80488,0.87424,0.32456,2.21036,1.15433,1.67233,0.0008218,0.0008218,0.0008218
